Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
83,2.19462e-05,2.47302e-06,6.44793e-06,6.82573e-06,3.08363e-06,2.50004e-06,2.74678e-06
84,2.21916e-05,2.83294e-06,7.93146e-06,7.78937e-06,3.26306e-06,2.48119e-06,2.89386e-06
85,2.32728e-05,2.68659e-06,6.63647e-06,6.8715e-06,3.63867e-06,2.57621e-06,2.92924e-06
86,2.38331e-05,2.403e-06,6.82281e-06,6.61571e-06,3.31363e-06,2.56047e-06,2.9506e-06
87,2.33149e-05,3.02044e-06,7.85619e-06,9.0066e-06,4.7956e-06,3.08429e-06,3.2398e-06
88,2.45159e-05,2.60689e-06,7.11211e-06,6.89676e-06,3.30305e-06,3.00708e-06,3.03779e-06
89,2.48925e-05,3.06535e-06,7.01549e-06,6.98266e-06,3.83239e-06,2.74273e-06,3.02231e-06
90,2.75666e-05,3.20309e-06,7.01972e-06,8.33247e-06,3.66044e-06,2.98744e-06,5.2066e-06
91,2.68319e-05,2.65755e-06,7.03776e-06,6.8949e-06,3.2696e-06,2.61765e-06,2.93314e-06
92,2.51777e-05,2.55583e-06,6.90312e-06,7.02667e-06,3.30605e-06,2.79732e-06,2.95747e-06
93,2.58083e-05,2.73739e-06,7.10578e-06,7.19185e-06,3.88842e-06,3.2541e-06,3.7084e-06
94,2.70361e-05,2.65637e-06,7.88085e-06,7.08134e-06,3.54249e-06,2.92549e-06,3.34927e-06
95,2.90838e-05,3.34697e-06,8.82593e-06,7.35938e-06,3.70005e-06,2.94471e-06,3.35263e-06
96,3.18308e-05,3.26095e-06,9.53515e-06,7.57362e-06,3.88825e-06,3.05158e-06,3.34921e-06
97,2.85828e-05,3.44876e-06,7.86222e-06,7.38317e-06,3.69305e-06,3.03842e-06,3.43586e-06
98,2.93319e-05,3.16417e-06,7.89009e-06,7.49755e-06,3.82396e-06,3.07393e-06,3.38015e-06
99,3.41284e-05,3.43162e-06,8.05498e-06,7.75638e-06,3.92648e-06,3.12334e-06,3.59846e-06
100,3.00991e-05,3.33753e-06,8.25942e-06,7.78872e-06,3.85002e-06,3.12003e-06,3.79115e-06
